Ay;Yıl;İBB Ataşehir Hali Tonajları - Meyve;İBB Ataşehir Hali Tonajları - Sebze;Bayrampaşa Hali Tonajları - Meyve;Bayrampaşa Hali Tonajları - Sebze
1;2021;17.823;25.102;62.010;88.175
2;2021;15.464;26.153;49.415;78.419
3;2021;18.019;25.617;52.856;89.279
4;2021;14.757;27.171;49.673;93.845
5;2021;13.525;26.678;53.954;102.108
6;2021;21.977;29.347;89.135;113.727
7;2021;18.874;23.051;95.932;125.206
8;2021;22.360;25.995;100.920;159.868
9;2021;20.770;38.793;86.397;164.431
10;2021;20.427;32.666;62.557;100.807
11;2021;19.803;25.298;74.710;117.319
12;2021;24.380;27.146;68.151;89.409
1;2022;18.965;23.546;68.913;88.295
2;2022;15.940;21.035;60.250;89.124
3;2022;15.286;20.073;54.426;94.885
4;2022;11.735;22.898;45.344;105.154
5;2022;12.435;22.711;60.637;139.616
6;2022;18.190;25.803;84.199;133.163
7;2022;15.244;21.085;84.101;115.938
8;2022;20.806;27.774;93.671;158.661
9;2022;19.489;39.611;81.223;189.957
10;2022;17.613;25.690;74.812;169.616
11;2022;16.331;21.788;71.101;113.767
12;2022;16.725;22.304;70.602;112.093
1;2023;4.926;6.685;83.302;120.776
2;2023;18.440;25.675;50.698;80.961
3;2023;19.451;32.820;53.748;100.809
4;2023;15.558;30.678;45.718;97.150
5;2023;21.872;35.422;60.992;115.679
6;2023;20.622;33.450;66.442;106.690
7;2023;23.095;37.307;86.377;120.198
8;2023;23.658;44.152;78.966;139.243
9;2023;23.932;46.508;64.279;133.486
10;2023;24.251;42.226;68.010;131.831
11;2023;22.600;33.334;64.293;106.705
12;2023;25.051;28.405;68.643;88.409
1;2024;24.080;30.521;66.331;93.452
2;2024;20.228;28.520;54.517;87.772
3;2024;17.144;31.293;46.832;92.874
4;2024;16.229;32.085;45.268;100.751
5;2024;21.939;37.295;62.857;117.289
6;2024;20.961;32.235;72.481;104.700
7;2024;25.007;38.302;85.088;122.283
8;2024;23.970;42.788;79.241;134.632
9;2024;24.249;47.380;72.455;152.035
10;2024;23.012;37.841;64.089;120.645
11;2024;20.561;27.079;56.602;89.447
12;2024;23.705;28.938;63.956;89.674
